default-fonts-ne	0:4.3-1.fc44	noarch
default-fonts-nn	0:4.3-1.fc44	noarch
default-fonts-nqo	0:4.3-1.fc44	noarch
default-fonts-nr	0:4.3-1.fc44	noarch
default-fonts-nso	0:4.3-1.fc44	noarch
default-fonts-or	0:4.3-1.fc44	noarch
default-fonts-other-mono	0:4.3-1.fc44	noarch
default-fonts-other-sans	0:4.3-1.fc44	noarch
default-fonts-other-serif	0:4.3-1.fc44	noarch
default-fonts-pa	0:4.3-1.fc44	noarch
default-fonts-ru	0:4.3-1.fc44	noarch
default-fonts-sat	0:4.3-1.fc44	noarch
default-fonts-si	0:4.3-1.fc44	noarch
default-fonts-ss	0:4.3-1.fc44	noarch
default-fonts-syr	0:4.3-1.fc44	noarch
default-fonts-ta	0:4.3-1.fc44	noarch
default-fonts-te	0:4.3-1.fc44	noarch
default-fonts-th	0:4.3-1.fc44	noarch
default-fonts-tn	0:4.3-1.fc44	noarch
default-fonts-ts	0:4.3-1.fc44	noarch
default-fonts-uk	0:4.3-1.fc44	noarch
default-fonts-ur	0:4.3-1.fc44	noarch
default-fonts-ve	0:4.3-1.fc44	noarch
default-fonts-vi	0:4.3-1.fc44	noarch
default-fonts-xh	0:4.3-1.fc44	noarch
default-fonts-yi	0:4.3-1.fc44	noarch
default-fonts-zu	0:4.3-1.fc44	noarch
dejavu-sans-fonts	0:2.37-29.fc44	noarch
deltarpm	0:3.6.5-8.fc44	aarch64
desktop-backgrounds-compat	0:44.0.0-2.fc44	noarch
desktop-backgrounds-kde	0:44.0.0-2.fc44	noarch
desktop-file-utils	0:0.28-5.fc44	aarch64
device-mapper	0:1.02.212-2.fc44	aarch64
device-mapper-event	0:1.02.212-2.fc44	aarch64
device-mapper-event-libs	0:1.02.212-2.fc44	aarch64
device-mapper-libs	0:1.02.212-2.fc44	aarch64
device-mapper-multipath	0:0.13.1-1.fc44	aarch64
device-mapper-multipath-libs	0:0.13.1-1.fc44	aarch64
device-mapper-persistent-data	0:1.3.3-1.fc44	aarch64
dhcp-client	12:4.4.3-26.fc44	aarch64
dhcp-common	12:4.4.3-26.fc44	noarch
diffstat	0:1.69-1.fc44	aarch64
diffutils	0:3.12-5.fc44	aarch64
digikam	0:9.1.0-1.fc44	aarch64
digikam-libs	0:9.1.0-1.fc44	aarch64
distribution-gpg-keys	0:1.119-1.fc44	noarch
djvulibre-libs	0:3.5.30-1.fc44	aarch64
dlm-lib	0:4.3.0-8.fc44	aarch64
dmidecode	1:3.7-1.fc44	aarch64
dnf5	0:5.4.2.1-1.fc44	aarch64
dnf5-plugins	0:5.4.2.1-1.fc44	aarch64
dnf-data	0:4.24.0-3.fc44	noarch
dnsmasq	0:2.92rel2-9.fc44	aarch64
dns-root-data	0:2026260100-2.fc44	noarch
docbook-dtds	0:1.0-91.fc44	noarch
docbook-style-xsl	0:1.79.2-27.fc44	noarch
dolphin	0:26.04.3-1.fc44	aarch64
dolphin-libs	0:26.04.3-1.fc44	aarch64
dolphin-plugins	0:26.04.3-1.fc44	aarch64
dos2unix	0:7.5.5-1.fc44	aarch64
dosfstools	0:4.2-18.fc44	aarch64
dotconf	0:1.4.1-7.fc44	aarch64
double-conversion	0:3.4.0-3.fc44	aarch64
doxygen	2:1.16.1-3.fc44	aarch64
dracut	0:108-7.fc44	aarch64
dracut-asahi	0:20250713-7.fc44	noarch
dracut-network	0:108-7.fc44	aarch64
dracut-squash	0:108-7.fc44	aarch64
dragon	0:26.04.3-1.fc44	aarch64
duktape	0:2.7.0-11.fc44	aarch64
dvd+rw-tools	0:7.1-46.fc44	aarch64
dyninst	0:13.0.0-9.fc44	aarch64
e2fsprogs	0:1.47.3-4.fc44	aarch64
e2fsprogs-libs	0:1.47.3-4.fc44	aarch64
ebook-tools-libs	0:0.2.2-31.fc44	aarch64
ed	0:1.22.5-2.fc44	aarch64
editorconfig-libs	0:0.12.11-1.fc44	aarch64
efibootmgr	0:18-11.fc44	aarch64
efi-filesystem	0:6-6.fc44	noarch
efivar-libs	0:39-12.fc44	aarch64
egl-utils	0:9.0.0-11.fc44	aarch64
elfutils	0:0.195-1.fc44	aarch64
elfutils-debuginfod-client	0:0.195-1.fc44	aarch64
elfutils-debuginfod-client-devel	0:0.195-1.fc44	aarch64
elfutils-default-yama-scope	0:0.195-1.fc44	noarch
elfutils-devel	0:0.195-1.fc44	aarch64
elfutils-libelf	0:0.195-1.fc44	aarch64
elfutils-libelf-devel	0:0.195-1.fc44	aarch64
elfutils-libs	0:0.195-1.fc44	aarch64
elisa-player	0:26.04.3-1.fc44	aarch64
emacs-filesystem	1:30.2-2.fc44	aarch64
enblend	0:4.2-35.fc44	aarch64
enchant2	0:2.8.18-1.fc44	aarch64
erofs-fuse	0:1.9.2-2.fc44	aarch64
erofs-utils	0:1.9.2-2.fc44	aarch64
espeak-ng	0:1.52.0-3.fc44	aarch64
ethtool	2:7.1-1.fc44	aarch64
eventviews	0:26.04.3-1.fc44	aarch64
exempi	0:2.6.4-9.fc44	aarch64
exfatprogs	0:1.4.2-2.fc44	aarch64
exiv2	0:0.28.6-3.fc44	aarch64
exiv2-libs	0:0.28.6-3.fc44	aarch64
expat	0:2.8.1-1.fc44	aarch64
f2fs-tools	0:1.16.0-10.fc44	aarch64
f42-backgrounds-base	0:42.0.0-5.fc44	noarch
f42-backgrounds-kde	0:42.0.0-5.fc44	noarch
f44-backgrounds-base	0:44.0.0-1.fc44	noarch
f44-backgrounds-kde	0:44.0.0-1.fc44	noarch
faad2-libs	1:2.11.2-6.fc44	aarch64
fatresize	0:1.1.0-20.20221116gitab78c48.fc44	aarch64
fdk-aac-free	0:2.0.3-2.fc44	aarch64
fedora-asahi-remix-appstream-metadata	0:20260427-1.fc44	noarch
fedora-asahi-remix-release-common	0:44-15	noarch
fedora-asahi-remix-release-identity-kde-desktop	0:44-15	noarch
fedora-asahi-remix-release-kde-desktop	0:44-15	noarch
fedora-asahi-remix-scripts	0:20241123-3.fc44	noarch
fedora-bookmarks	0:28-36.fc44	noarch
fedora-flathub-remote	0:1-12.fc44	noarch
fedora-gpg-keys	0:44-1	noarch
fedora-logos	0:42.0.1-3.fc44	noarch
fedora-repos	0:44-1	noarch
fedora-third-party	0:0.10-16.fc44	noarch
fedora-workstation-repositories	0:38-9.fc44	aarch64
fex-emu	0:2604-1.fc44	aarch64
fex-emu-filesystem	0:2604-1.fc44	noarch
fex-emu-rootfs-fedora	0:44^20260410.n.0-1.fc44	noarch
fex-emu-thunks	0:2604-1.fc44	aarch64
ffmpeg-free	0:8.1.2-1.fc44	aarch64
ffmpegthumbs	0:26.04.3-1.fc44	aarch64
fftw-libs-double	0:3.3.10-17.fc44	aarch64
fftw-libs-single	0:3.3.10-17.fc44	aarch64
file	0:5.46-10.fc44	aarch64
file-libs	0:5.46-10.fc44	aarch64
filelight	1:26.04.3-1.fc44	aarch64
filesystem	0:3.18-52.fc44	aarch64
findutils	1:4.10.0-7.fc44	aarch64
firefox	0:152.0.6-1.fc44	aarch64
firefox-langpacks	0:152.0.6-1.fc44	aarch64
firewall-config	0:2.4.4-1.fc44	noarch
firewalld	0:2.4.4-1.fc44	noarch
firewalld-filesystem	0:2.4.4-1.fc44	noarch
flac-libs	0:1.5.0-8.fc44	aarch64
flashrom	0:1.6.0-3.fc44	aarch64
flatpak	0:1.18.0-1.fc44	aarch64
flatpak-kcm	0:6.7.3-1.fc44	aarch64
flatpak-libs	0:1.18.0-1.fc44	aarch64
flatpak-selinux	0:1.18.0-1.fc44	noarch
flatpak-session-helper	0:1.18.0-1.fc44	aarch64
flexiblas	0:3.5.0-2.fc44	aarch64
flexiblas-netlib	0:3.5.0-2.fc44	aarch64
flexiblas-netlib64	0:3.5.0-2.fc44	aarch64
flexiblas-openblas-openmp	0:3.5.0-2.fc44	aarch64
flexiblas-openblas-openmp64	0:3.5.0-2.fc44	aarch64
